mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	33											0	
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	34												
3	3	17/2	17/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4		1/4	1	35								7				
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	36												
3	3	10	10	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	37												
3	3	21/2	21/2	1.0	5/8	5/8	Chord	4/4	3	1	1/4		1/4	1	38								8				
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	39												
3	3	10	10	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	40												
3	3	21/2	21/2	1.0	5/8	5/8	Chord	4/4	3	2	1/4		1/4	1	41								9				
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	42												
3	3	8	8	0.0	0	0	Dynamic	4/4	4	1	0						p										
3	3	8	8	0.0	0	0	Spanner	4/4	4	1	0																
3	3	8	8	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	43												
3	3	9	9	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	44												
3	3	10	10	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	45												
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	46												
4	4	12	12	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	47			ornamentTrill					10				
4	4	49/4	49/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	48								10				
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	49												
4	4	13	13	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	50			ornamentTrill					11				
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	51								11				
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	52												
4	4	14	14	0.25	1/2	1/2	Chord	4/4	3	1	1/16		1/16	1	53								12				
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16		1/16	1	54								12				
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	55												
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	56												
4	4	12	12	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	57												
4	4	13	13	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	58												
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	59												
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	60												
4	4	25/2	25/2	1.0	1/8	1/8	Chord	4/4	4	1	1/4		1/4	1	61								13				
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	62												
4	4	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	63												
4	4	15	15	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	64												
4	4	12	12	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	65												
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	66								14				
4	4	13	13	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	67								14				
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	68												
4	4	14	14	0.0	1/2	1/2	Spanner	4/4	4	2	0																0
4	4	14	14	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	69								15				0
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	70								15				0
4	4	15	15	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	71								15				0
4	4	31/2	31/2	0.0	7/8	7/8	Dynamic	4/4	4	2	0						f										
4	4	31/2	31/2	0.0	7/8	7/8	Spanner	4/4	4	2	0																
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	72												
5	5	16	16	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	73												
5	5	33/2	33/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4		1/4	1	74												
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	75												
5	5	18	18	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	76												
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	77												
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	78												
5	5	16	16	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	79												
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	80												
5	5	16	16	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	81												
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	82												
5	5	17	17	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	83												
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	84												
5	5	18	18	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	85												
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	86												
5	5	19	19	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	87												
5	5	39/2	39/2	0.0	7/8	7/8	Dynamic	4/4	4	1	0						pp										
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	88												
6	6	20	20	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	89												
6	6	41/2	41/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4		1/4	1	90								16				
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	91												
6	6	22	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	92												
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	93												
6	6	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	94								17				
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	95												
6	6	20	20	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	96												
6	6	21	21	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	97												
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	98												
6	6	22	22	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	99												
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	100												
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	101												
6	6	20	20	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	102												
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	103												
6	6	21	21	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	104												
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	105												
6	6	22	22	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	106												
6	6	23	23	0.0	3/4	3/4	Dynamic	4/4	4	1	0						f										
6	6	23	23	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	107								18				
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	108												
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	109								19				
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	110								19				
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	111												
7	7	25	25	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	112												
7	7	26	26	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	113												
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	114												
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	115												
7	7	24	24	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	116												
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	117								20				
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	3	2	1/16		1/16	1	118								20				
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	3	2	1/16		1/16	1	119								20				
7	7	26	26	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	120												
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	121												
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	122												
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	123												
7	7	24	24	1.5	0	0	Chord	4/4	4	1	3/8		1/4	3/2	124								21				
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	125												
7	7	26	26	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	126												
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	127												
7	7	27	27	0.0	3/4	3/4	Dynamic	4/4	4	1	0						p										
7	7	27	27	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	128												
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	129												
7	7	24	24	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	130												
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	131												
7	7	25	25	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	132												
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	133												
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	134			ornamentTrill									
8	8	30	30	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	135												
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	136								22				
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	137								22				
8	8	28	28	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	138												
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	139												
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	140												
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	141												
8	8	30	30	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	142												
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	143												
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	144												
8	8	28	28	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	145												
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	146												
8	8	29	29	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	147												
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	148												
8	8	30	30	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	149												
8	8	61/2	61/2	0.0	5/8	5/8	Dynamic	4/4	4	1	0						pp										
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	150												
8	8	31	31	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	151												
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	152												
9	9	33	33	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	153			ornamentTrill									
9	9	34	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	154												
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	155												
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	156												
9	9	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	157												
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	158												
9	9	32	32	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	159												
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	160												
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	161												
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	162												
9	9	32	32	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	163								23				
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	164								23				
9	9	33	33	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	165								23				
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	166												
9	9	34	34	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	167												
9	9	69/2	69/2	0.0	5/8	5/8	Dynamic	4/4	4	1	0						other-dynamics										
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	168			articStaccatoAbove									
9	9	35	35	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	169			articStaccatoAbove									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	170			articStaccatoAbove									
10	10	36	36	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	171												
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	172												
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	173												
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	174												
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	175												
10	10	38	38	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	176												
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	177												
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	178												
10	10	39	39	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	179												
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	180												
10	10	36	36	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	181												
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	182												
10	10	37	37	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	183												
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	184												
10	10	38	38	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	185												
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	186												
10	10	39	39	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	187												
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	188												
11	11	41	41	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	189								24				
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	190								24				
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	191								24				
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	192												
11	11	42	42	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	193												
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	194												
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	195												
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	196												
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	197												
11	11	40	40	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	198												
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	199												
11	11	41	41	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	200												
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	201												
11	11	41	41	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	202												
11	11	42	42	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	203												
11	11	85/2	85/2	0.0	5/8	5/8	Dynamic	4/4	4	1	0						p										
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	204			articStaccatoAbove									
11	11	43	43	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	205			articStaccatoAbove									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	206			articStaccatoAbove									
11	11	40	40	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	207												
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	208												
11	11	41	41	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	209												
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	210												
12	12	44	44	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	211												
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	212												
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	213												
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	214												
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	215												
12	12	46	46	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	216												
12	12	93/2	93/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	217												
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	218												
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	219												
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	220												
12	12	44	44	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	221												
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	222												
12	12	45	45	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	223												
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	224												
12	12	46	46	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	225												
12	12	93/2	93/2	0.0	5/8	5/8	Spanner	4/4	4	1	0														0		
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	226										0		
12	12	47	47	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	227										0		
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	228										0		
13	13	48	48	0.0	0	0	Dynamic	4/4	1	1	0						mp										
13	13	48	48	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	229												
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	230												
13	13	49	49	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	231								25				
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	232								25				
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	233								25				
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	234												
13	13	50	50	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	235												
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	236												
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	237												
13	13	48	48	0.0	0	0	Dynamic	4/4	4	1	0						f										
13	13	48	48	0.0	0	0	Spanner	4/4	4	1	0																
13	13	48	48	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	238												
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	239												
13	13	49	49	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	240												
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	241												
13	13	50	50	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	242												
14	14	52	52	0.0	0	0	StaffText	4/4	1	1	0								espr.								
14	14	52	52	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	243	In-											
14	14	105/2	105/2	0.0	1/8	1/8	StaffText	4/4	1	1	0								Sopr. solo								
14	14	105/2	105/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	244	-flam-							26				
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	245												
14	14	54	54	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	246	-ma-											
14	14	109/2	109/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	247	-tus							27				
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	248												
14	14	52	52	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	249												
14	14	105/2	105/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4		1/4	1	250								28				
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	251												
14	14	54	54	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	252												
14	14	109/2	109/2	1.0	5/8	5/8	Chord	4/4	3	1	1/4		1/4	1	253								29				
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	254												
14	14	54	54	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	255												
14	14	109/2	109/2	1.0	5/8	5/8	Chord	4/4	3	2	1/4		1/4	1	256												
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	257												
14	14	52	52	0.0	0	0	Dynamic	4/4	4	1	0						p										
14	14	52	52	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	258												
14	14	53	53	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	259												
14	14	54	54	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	260												
14	14	55	55	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	261												
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	262	et		ornamentTrill									
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	263	ac-		ornamentTrill									
15	15	58	58	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	264	-cen-							30				
15	15	233/4	233/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	265												
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	266	-sus											
15	15	56	56	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	267			ornamentTrill					31				
