mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	HairPin:3_dim. e rit.	crescendo_line
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	42															
3	3	8	8	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	43	Chri-														
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	44	-sti														
3	3	10	10	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	45															
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	46	ma-														
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	47	-trem														
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	48															
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	49															
3	3	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	50															
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	51															
3	3	10	10	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	52															
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	53															
3	3	11	11	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	54															
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	55															
3	3	8	8	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	56															
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	57															
3	3	9	9	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	58															
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	59															
3	3	10	10	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	60															
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	61															
3	3	11	11	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	62															
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	63															
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	64	si														
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	65	vi-														
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	66	-de-														
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	67	-ret														
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	68	in														
4	4	12	12	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	69															
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	70															
4	4	13	13	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	71															
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	72															
4	4	14	14	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	73															
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	74															
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	75															
4	4	13	13	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	76															
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	77															
4	4	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	78															
4	4	14	14	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	79															
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	80															
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1		1	1	81	tan-														
5	5	16	16	0.0	0	0	Dynamic	4/4	3	1	0						p													
5	5	16	16	0.0	0	0	Spanner	4/4	3	1	0															0				
5	5	16	16	4.0	0	0	Chord	4/4	3	1	1		1	1	82											0				
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	83											0				
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	84											0				
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	85											0				
5	5	17	17	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	86															
5	5	18	18	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	87															
5	5	19	19	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	88															
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	89															
6	6	21	21	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	90	-to									1					
6	6	169/8	169/8	0.375	9/32	9/32	Chord	4/4	1	1	3/32		1/16	3/2	91															
6	6	43/2	43/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	92	sup-									2					
6	6	173/8	173/8	0.375	13/32	13/32	Chord	4/4	1	1	3/32		1/16	3/2	93															
6	6	22	22	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	94															
6	6	22	22	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	95	-pli-														
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	96	-ci-														
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	97	-o?														
6	6	20	20	0.0	0	0	Spanner	4/4	3	1	0																			
6	6	20	20	0.0	0	0	Spanner	4/4	3	1	0																0			
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	98												0			
6	6	21	21	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	99										3		0			
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	100										3		0			
6	6	22	22	0.0	1/2	1/2	Dynamic	4/4	3	1	0						pp													
6	6	22	22	0.0	1/2	1/2	Spanner	4/4	3	1	0																			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	101															
6	6	20	20	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	102															
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	103															
6	6	20	20	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	104															
6	6	21	21	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	105															
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	106															
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	3	1/2		1/2	1	107															
7	7	24	24	0.0	0	0	Dynamic	4/4	2	1	0						p													
7	7	24	24	0.0	0	0	StaffText	4/4	2	1	0								Alto. Solo											
7	7	24	24	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	108	Quis														
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	109	non														
7	7	26	26	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	110	pos-														
7	7	105/4	105/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	111															
7	7	53/2	53/2	0.0	5/8	5/8	Chord	4/4	2	1	0	appoggiatura	1/8	1	112															
7	7	53/2	53/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4		1/4	1	113	-set														
7	7	24	24	0.0	0	0	StaffText	4/4	3	1	0								a tempo											
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	114															
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	115															
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	116															
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	117															
7	7	26	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	118															
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	119															
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	120															
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	121															
7	7	24	24	0.0	0	0	Dynamic	4/4	4	1	0						p													
7	7	24	24	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	122															
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	123															
7	7	25	25	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	124															
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	125															
7	7	26	26	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	126															
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	127															
7	7	27	27	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	128															
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	129															
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	130	con-														
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	131	-tri-														
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	132	-sta-														
8	8	61/2	61/2	0.0	5/8	5/8	Chord	4/4	2	1	0	appoggiatura	1/8	1	133															
8	8	61/2	61/2	1.5	5/8	5/8	Chord	4/4	2	1	3/8		1/4	3/2	134	-ri,														
8	8	28	28	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	135															
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	136															
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	137															
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	138															
8	8	30	30	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	139															
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	140															
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	141															
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	142															
8	8	28	28	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	143															
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	144															
8	8	29	29	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	145															
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	146															
8	8	30	30	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	147															
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	148															
8	8	31	31	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	149															
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	150															
9	9	32	32	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	151	pi-														
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	152	-am														
9	9	34	34	0.0	1/2	1/2	Chord	4/4	2	1	0	appoggiatura	1/8	1	153															
9	9	34	34	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	154	ma-														
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	155	-trem														
9	9	32	32	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	156															
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	157															
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	158															
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	159															
9	9	34	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	160															
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	161															
9	9	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	162															
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	163															
9	9	32	32	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	164															
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	165															
9	9	33	33	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	166															
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	167															
9	9	34	34	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	168															
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	169															
9	9	35	35	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	170															
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	171															
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	172	con-														
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	173	-tem-														
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	174	-pla-														
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	175	-ri														
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	176	do-														
10	10	36	36	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	177															
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	178															
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	179															
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	180															
10	10	38	38	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	181															
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	182															
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	183															
10	10	37	37	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	184															
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	185															
10	10	38	38	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	186															
10	10	38	38	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	187															
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	188															
11	11	40	40	4.0	0	0	Chord	4/4	2	1	1		1	1	189	-len-														
11	11	40	40	4.0	0	0	Chord	4/4	3	1	1		1	1	190															
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	191															
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	192															
11	11	43	43	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	193															
11	11	40	40	4.0	0	0	Chord	4/4	3	3	1		1	1	194															
11	11	40	40	0.0	0	0	Dynamic	4/4	4	1	0						p													
11	11	41	41	0.0	1/4	1/4	Spanner	4/4	4	1	0															1				
11	11	41	41	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	195										4	1				
11	11	42	42	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	196										4	1				
11	11	43	43	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	197										4	1				
12	12	44	44	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=25	25.0	𝅘𝅥	25.0	0.0						
12	12	46	46	0.0	1/2	1/2	Tempo	4/4	1	1	0									Largo	35.0			1.0						
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	198															
12	12	45	45	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	199	-tem									5					
12	12	361/8	361/8	0.375	9/32	9/32	Chord	4/4	2	1	3/32		1/16	3/2	200															
12	12	91/2	91/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	201	cum									6					
12	12	365/8	365/8	0.375	13/32	13/32	Chord	4/4	2	1	3/32		1/16	3/2	202															
12	12	46	46	0.0	1/2	1/2	Chord	4/4	2	1	0	appoggiatura	1/8	1	203															
12	12	46	46	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	204	fi-														
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	205	-li-														
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	206	-o?														
12	12	44	44	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	207															
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	208															
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	209															
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	210															
12	12	44	44	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	211															
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	212															
12	12	44	44	2.0	0	0	Chord	4/4	3	3	1/2		1/2	1	213															
12	12	44	44	0.0	0	0	Spanner	4/4	4	1	0														4					
12	12	44	44	0.0	0	0	Spanner	4/4	4	1	0														4			0	0	
12	12	44	44	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	214										4			0	0	
12	12	45	45	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	215										4			0	0	
12	12	46	46	0.0	1/2	1/2	Dynamic	4/4	4	1	0						pp													
12	12	46	46	0.0	1/2	1/2	Spanner	4/4	4	1	0																			
12	12	46	46	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	216															
13	13	48	48	0.0	0	0	StaffText	4/4	1	1	0								Sopr.											
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0									atempo	35.0			1.0						
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	217	Quis														
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	218	est														
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	219	ho-														
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	220	-mo														
13	13	48	48	0.0	0	0	StaffText	4/4	2	1	0								Alto											
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	221	Quis														
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	222	est														
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	223	ho-														
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	224	-mo														
13	13	48	48	0.0	0	0	StaffText	4/4	3	1	0								a tempo											
13	13	48	48	0.75	0	0	Chord	4/4	3	1	3/16		1/8	3/2	225										7					
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	226										7					
13	13	49	49	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	227										7					
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	228										7					
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	229										7					
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	230															
13	13	50	50	0.75	1/2	1/2	Chord	4/4	3	1	3/16		1/8	3/2	231										8					
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	232										8					
13	13	51	51	0.25	3/4	3/4	Chord	4/4	3	1	1/16		1/16	1	233										8					
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16		1/16	1	234										8					
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16		1/16	1	235										8					
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16		1/16	1	236															
13	13	48	48	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	237															
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	238															
13	13	48	48	0.0	0	0	Dynamic	4/4	4	1	0						p													
13	13	48	48	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	239															
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	240															
13	13	49	49	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	241															
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	242															
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	243															
13	13	51	51	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	244															
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	245															
13	13	50	50	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	246															
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	247															
13	13	51	51	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	248															
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	249															
14	14	52	52	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	250	qui														
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	251	non														
14	14	54	54	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	252	fle-														
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	253	-ret,														
14	14	52	52	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	254	con-														
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	255	-tri-														
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	256	-sta-														
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	257	-ri														
14	14	52	52	0.75	0	0	Chord	4/4	3	1	3/16		1/8	3/2	258										9					
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	259										9					
14	14	53	53	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	260										9					
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	261										9					
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	262										9					
