mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
11	11	42	42	0.375	1/2	1/2	Chord	4/4	1	1	3/32		1/16	3/2	266			ornamentTrill							19			
11	11	339/8	339/8	0.0625	19/32	19/32	Chord	4/4	1	1	1/64		1/64	1	267										19			
11	11	679/16	679/16	0.0625	39/64	39/64	Chord	4/4	1	1	1/64		1/64	1	268										19			
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	269										19			
11	11	43	43	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	270										19			
11	11	173/4	173/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	271										19, 20			
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	272										19, 20			
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	273										19			
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	274													
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	275													
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	276													
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	277													
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	278													
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	279													
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	280													
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	281													
11	11	40	40	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	282													
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	283													
11	11	41	41	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	284													
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	285													
11	11	42	42	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	286													
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	287													
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	288													
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	289													
12	12	44	44	0.375	0	0	Chord	4/4	1	1	3/32		1/16	3/2	290			ornamentTrill							19			
12	12	355/8	355/8	0.0625	3/32	3/32	Chord	4/4	1	1	1/64		1/64	1	291										19			
12	12	711/16	711/16	0.0625	7/64	7/64	Chord	4/4	1	1	1/64		1/64	1	292										19			
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	293										19			
12	12	45	45	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	294										19			
12	12	361/8	361/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	295										19			
12	12	181/4	181/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	296										19			
12	12	363/8	363/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	297										19			
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	298										19			
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	299										19			
12	12	46	46	0.375	1/2	1/2	Chord	4/4	1	1	3/32		1/16	3/2	300										19			
12	12	371/8	371/8	0.0625	19/32	19/32	Chord	4/4	1	1	1/64		1/64	1	301										19			
12	12	743/16	743/16	0.0625	39/64	39/64	Chord	4/4	1	1	1/64		1/64	1	302										19			
12	12	93/2	93/2	0.375	5/8	5/8	Chord	4/4	1	1	3/32		1/16	3/2	303										19			
12	12	375/8	375/8	0.0625	23/32	23/32	Chord	4/4	1	1	1/64		1/64	1	304										19			
12	12	751/16	751/16	0.0625	47/64	47/64	Chord	4/4	1	1	1/64		1/64	1	305													
12	12	47	47	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	306	-gas									21			
12	12	189/4	189/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	307													
12	12	95/2	95/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	308	re-									22			
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	309													
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	310													
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	311													
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	312													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	313													
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	314													
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	315													
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	316													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	317													
12	12	44	44	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	318													
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	319													
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	320													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	321													
12	12	46	46	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	322													
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	323													
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	324													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	325													
13	13	48	48	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	326	-co-												
13	13	195/4	195/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	327													
13	13	391/8	391/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	328													
13	13	49	49	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	329													
13	13	49	49	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	330			ornamentTrill										
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	331	-le-												
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	332	-re.												
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	333													
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	334													
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	335													
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	336													
13	13	50	50	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	337													
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	338													
13	13	51	51	0.375	3/4	3/4	Chord	4/4	2	1	3/32		1/16	3/2	339													
13	13	411/8	411/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	340													
13	13	103/2	103/2	0.375	7/8	7/8	Chord	4/4	2	1	3/32		1/16	3/2	341													
13	13	415/8	415/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	342													
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	343													
13	13	49	49	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	344													
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	345													
13	13	50	50	0.0	1/2	1/2	Dynamic	4/4	3	1	0						f											
13	13	50	50	0.75	1/2	1/2	Chord	4/4	3	1	3/16		1/8	3/2	346													
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	347													
13	13	51	51	0.375	3/4	3/4	Chord	4/4	3	1	3/32		1/16	3/2	348													
13	13	411/8	411/8	0.125	27/32	27/32	Chord	4/4	3	1	1/32		1/32	1	349													
13	13	103/2	103/2	0.375	7/8	7/8	Chord	4/4	3	1	3/32		1/16	3/2	350													
13	13	415/8	415/8	0.125	31/32	31/32	Chord	4/4	3	1	1/32		1/32	1	351													
13	13	50	50	1.5	1/2	1/2	Chord	4/4	3	2	3/8		1/4	3/2	352													
14	14	52	52	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	353													
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	354													
14	14	53	53	0.375	1/4	1/4	Chord	4/4	2	1	3/32		1/16	3/2	355													
14	14	427/8	427/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	356													
14	14	107/2	107/2	0.375	3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	357													
14	14	431/8	431/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	358													
14	14	54	54	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	359													
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	360													
14	14	55	55	0.375	3/4	3/4	Chord	4/4	2	1	3/32		1/16	3/2	361													
14	14	443/8	443/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	362													
14	14	111/2	111/2	0.375	7/8	7/8	Chord	4/4	2	1	3/32		1/16	3/2	363													
14	14	447/8	447/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	364													
14	14	52	52	0.0	0	0	Dynamic	4/4	3	1	0						sf											
14	14	52	52	0.75	0	0	Chord	4/4	3	1	3/16		1/8	3/2	365													
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	366													
14	14	53	53	0.375	1/4	1/4	Chord	4/4	3	1	3/32		1/16	3/2	367													
14	14	427/8	427/8	0.125	11/32	11/32	Chord	4/4	3	1	1/32		1/32	1	368													
14	14	107/2	107/2	0.375	3/8	3/8	Chord	4/4	3	1	3/32		1/16	3/2	369													
14	14	431/8	431/8	0.125	15/32	15/32	Chord	4/4	3	1	1/32		1/32	1	370													
14	14	54	54	0.0	1/2	1/2	Dynamic	4/4	3	1	0						sf											
14	14	54	54	0.75	1/2	1/2	Chord	4/4	3	1	3/16		1/8	3/2	371													
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	372													
14	14	55	55	0.375	3/4	3/4	Chord	4/4	3	1	3/32		1/16	3/2	373													
14	14	443/8	443/8	0.125	27/32	27/32	Chord	4/4	3	1	1/32		1/32	1	374													
14	14	111/2	111/2	0.375	7/8	7/8	Chord	4/4	3	1	3/32		1/16	3/2	375													
14	14	447/8	447/8	0.125	31/32	31/32	Chord	4/4	3	1	1/32		1/32	1	376													
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	377													
15	15	113/2	113/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	378										23			
15	15	453/8	453/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	379										23			
15	15	227/4	227/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	380										23			
15	15	455/8	455/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	381										23			
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	382			articStaccatissimoAbove										
15	15	115/2	115/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	383										24			
15	15	461/8	461/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	384										24			
15	15	231/4	231/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	385										24			
15	15	463/8	463/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	386										24			
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	387			articStaccatissimoAbove										
15	15	117/2	117/2	0.0	5/8	5/8	Dynamic	4/4	2	1	0						p											
15	15	117/2	117/2	0.125	5/8	5/8	Chord	4/4	2	1	1/32		1/32	1	388										25			
15	15	469/8	469/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32		1/32	1	389										25			
15	15	235/4	235/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	390										25			
15	15	471/8	471/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	391										25			
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	392			articStaccatissimoAbove										
15	15	119/2	119/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	393										26			
15	15	477/8	477/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	394										26			
15	15	239/4	239/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	395										26			
15	15	479/8	479/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	396										26			
15	15	113/2	113/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4		1/4	1	397										27			
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	398													
15	15	58	58	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	399										28			
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	400													
15	15	56	56	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	401													
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	402													
15	15	57	57	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	403													
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	404													
15	15	58	58	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	405													
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	406													
15	15	59	59	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	407													
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	408													
16	16	60	60	0.0	0	0	Dynamic	4/4	1	1	0						p											
16	16	60	60	0.0	0	0	StaffText	4/4	1	1	0								dol.									
16	16	60	60	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	409	Fac												
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	410	me												
16	16	62	62	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	411	pla-												
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	412	-gis												
16	16	60	60	0.0	0	0	Dynamic	4/4	2	1	0						pp											
16	16	60	60	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	413													
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	414													
16	16	121/2	121/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	415													
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	416													
16	16	61	61	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	417													
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	418													
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	419													
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	420													
16	16	62	62	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	421													
16	16	249/4	249/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	422													
16	16	125/2	125/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	423													
16	16	251/4	251/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	424													
16	16	63	63	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	425													
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	426													
16	16	127/2	127/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	427													
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	428													
16	16	60	60	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	429													
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	430													
16	16	61	61	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	431													
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	432													
16	16	62	62	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	433													
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	434													
16	16	63	63	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	435													
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	436													
17	17	64	64	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	437													
17	17	64	64	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	438													
17	17	64	64	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	439	vul-												
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	440	-ne-									29			
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	441													
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	442	-ra-												
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	443	-ri,												
17	17	64	64	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	444													
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	445													
17	17	129/2	129/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	446													
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	447													
17	17	65	65	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	448													
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	449													
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	450													
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	451													
17	17	66	66	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	452													
17	17	265/4	265/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	453													
17	17	133/2	133/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	454													
17	17	267/4	267/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	455													
17	17	67	67	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	456													
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	457													
17	17	135/2	135/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	458													
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	459													
17	17	64	64	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	460													
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	461													
17	17	65	65	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	462													
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	463													
17	17	66	66	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	464													
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	465													
17	17	67	67	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	466													
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	467													
18	18	68	68	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	468													
18	18	68	68	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	469													
18	18	68	68	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	470	vul-												
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	471	-ne-									30			
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	472													
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	473	-ra-												
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	474	-ri												
18	18	143/2	143/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	475	cru-												
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	476	-ce												
18	18	68	68	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	477													
18	18	273/4	273/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	478													
18	18	137/2	137/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	479													
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	480													
18	18	69	69	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	481													
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	482													
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	483													
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	484													
18	18	70	70	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	485													
18	18	281/4	281/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	486													
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	487													
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	488													
18	18	71	71	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	489													
18	18	285/4	285/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	490													
18	18	143/2	143/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	491													
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	492													
18	18	68	68	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	493													
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	494													
18	18	69	69	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	495													
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	496													
18	18	70	70	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	497													
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	498													
18	18	71	71	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	499													
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	500													
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	501	hac									31			
19	19	145/2	145/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	502													
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	503	i-												
19	19	73	73	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	504	-ne-									32			
19	19	147/2	147/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	505													
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	506	-bri-												
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	507	-a-												
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	508	-ri,												
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	509	i-												
19	19	72	72	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	510													
19	19	289/4	289/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	511													
19	19	145/2	145/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	512													
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	513													
19	19	73	73	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	514													
19	19	293/4	293/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	515													
19	19	147/2	147/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	516													
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	517													
19	19	74	74	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	518													
19	19	297/4	297/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	519													
19	19	149/2	149/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	520													
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	521													
19	19	75	75	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	522													
19	19	301/4	301/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	523													
19	19	151/2	151/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	524													
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	525													
19	19	72	72	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	526										33			
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	527										33			
19	19	73	73	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	528													
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	529													
19	19	74	74	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	530													
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	531													
19	19	75	75	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	532													
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	533													
20	20	76	76	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	534	-ne-		ornamentTrill										
20	20	307/4	307/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	535													
20	20	615/8	615/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	536													
20	20	77	77	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	537													
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	538	-bri-												
20	20	78	78	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	539	-a-									34			
20	20	313/4	313/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	540													
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	541	-ri												
20	20	76	76	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	542													
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	543													
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	544													
