mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
33	33	64	64	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	255														
33	33	65	65	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	256														
34	34	66	66	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	257	-de-													
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	258	-bat													
34	34	66	66	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	259														
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	260														
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	261														
34	34	66	66	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	262														
34	34	66	66	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	263														
34	34	67	67	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	264														
35	35	68	68	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	265	na-													
35	35	69	69	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	266	-ti													
35	35	137/2	137/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	267														
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	268														
35	35	68	68	0.0	0	0	Spanner	2/4	3	1	0																	5
35	35	68	68	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	269														5
35	35	69	69	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	270														5
36	36	70	70	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	271	pœ-													
36	36	71	71	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	272	-nas,													
36	36	141/2	141/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	273														
36	36	143/2	143/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	274														
36	36	70	70	0.0	0	0	Spanner	2/4	3	1	0																	
36	36	70	70	0.0	0	0	Spanner	2/4	3	1	0														2			
36	36	70	70	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	275											2			
36	36	71	71	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	276											2			
37	37	72	72	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	277	pœ-													
37	37	73	73	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	278	-nas													
37	37	145/2	145/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	279														
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	280														
37	37	72	72	0.0	0	0	Spanner	2/4	3	1	0																	
37	37	72	72	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	281														
37	37	73	73	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	282														
38	38	74	74	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	283	in-													
38	38	299/4	299/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	284	-cly-													
38	38	75	75	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	285	-ti.													
38	38	149/2	149/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	286														
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	287														
38	38	74	74	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	288														
38	38	75	75	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	289														
39	39	76	76	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	290	Et		articStaccatissimoAbove											
39	39	153/2	153/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	291	tre-									27				
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	292														
39	39	153/2	153/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	293														
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	294														
39	39	76	76	0.0	0	0	Dynamic	2/4	3	1	0					mf												
39	39	153/2	153/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	295														
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	296														
39	39	76	76	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	297														
39	39	77	77	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	298														
40	40	78	78	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	299	-me-		articStaccatissimoAbove											
40	40	157/2	157/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	300	-bat,									28				
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	301														
40	40	157/2	157/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	302														
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	303														
40	40	157/2	157/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	304														
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	305														
40	40	78	78	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	306														
40	40	79	79	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	307														
41	41	80	80	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	308	cum		articStaccatissimoAbove											
41	41	161/2	161/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	309	vi-									29				
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	310														
41	41	161/2	161/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	311														
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	312														
41	41	80	80	0.0	0	0	Dynamic	2/4	3	1	0					pp												
41	41	161/2	161/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	313														
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	314														
41	41	80	80	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	315														
41	41	81	81	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	316														
42	42	82	82	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	317	-de-		articStaccatissimoAbove											
42	42	165/2	165/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8	1/4	3/2	318	-bat													
42	42	165/2	165/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	319														
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	320														
42	42	165/2	165/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	321														
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	322														
42	42	82	82	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	323														
42	42	83	83	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	324														
43	43	84	84	0.0	0	0	Dynamic	2/4	1	1	0					p												
43	43	84	84	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	325	na-													
43	43	85	85	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	326	-ti													
43	43	169/2	169/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	327														
43	43	171/2	171/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	328														
43	43	84	84	0.0	0	0	Dynamic	2/4	3	1	0					p												
43	43	84	84	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	329														
43	43	85	85	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	330														
44	44	86	86	0.0	0	0	Spanner	2/4	1	1	0																	6
44	44	86	86	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	331	pœ-													6
44	44	87	87	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	332	-nas,													6
44	44	173/2	173/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	333														
44	44	175/2	175/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	334														
44	44	86	86	0.0	0	0	Spanner	2/4	3	1	0																	7
44	44	86	86	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	335														7
44	44	87	87	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	336														7
45	45	88	88	0.0	0	0	Dynamic	2/4	1	1	0					f												
45	45	88	88	0.0	0	0	Spanner	2/4	1	1	0																	
45	45	88	88	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	337	na-													
45	45	89	89	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	338	-ti													
45	45	177/2	177/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	339														
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	340														
45	45	88	88	0.0	0	0	Dynamic	2/4	3	1	0					f												
45	45	88	88	0.0	0	0	Spanner	2/4	3	1	0																	
45	45	177/2	177/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	341														
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	342														
45	45	88	88	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	343														
45	45	89	89	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	344														
46	46	90	90	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	345	pœ-									30				
46	46	181/2	181/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	346										30				
46	46	363/4	363/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	347										30				
46	46	91	91	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	348														
46	46	183/2	183/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	349	-nas									31				
46	46	367/4	367/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	350														
46	46	181/2	181/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	351														
46	46	183/2	183/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	352														
46	46	181/2	181/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	353														
46	46	183/2	183/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	354														
46	46	90	90	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	355														
46	46	91	91	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	356														
47	47	92	92	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	357	in-									32				
47	47	93	93	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	358														
47	47	187/2	187/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	359	-cly-													
47	47	185/2	185/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	360														
47	47	187/2	187/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	361														
47	47	92	92	0.0	0	0	Spanner	2/4	3	1	0														3			
47	47	92	92	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	362											3			
47	47	92	92	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	363											3			
47	47	93	93	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	364											3			
48	48	94	94	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	365	-ti													
48	48	189/2	189/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	366														
48	48	191/2	191/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	367														
48	48	94	94	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	368											3			
48	48	95	95	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	369											3			
49	49	96	96	0.0	0	0	Dynamic	2/4	1	1	0					p												
49	49	96	96	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	370	et													
49	49	193/2	193/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	371	tre-									33				
49	49	195/2	195/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	372														
49	49	193/2	193/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	373														
49	49	195/2	195/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	374														
49	49	96	96	0.0	0	0	Dynamic	2/4	3	1	0					p												
49	49	96	96	0.0	0	0	Spanner	2/4	3	1	0																	
49	49	96	96	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	375														
49	49	97	97	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	376														
50	50	98	98	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	377	-me-		articStaccatissimoAbove											
50	50	197/2	197/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	378	-bat,									34				
50	50	199/2	199/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	379														
50	50	197/2	197/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	380														
50	50	199/2	199/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	381														
50	50	98	98	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	382														
50	50	99	99	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	383														
51	51	100	100	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	384	cum		articStaccatissimoAbove											
51	51	201/2	201/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	385	vi-									35				
51	51	203/2	203/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	386														
51	51	201/2	201/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	387														
51	51	203/2	203/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	388														
51	51	100	100	0.0	0	0	Dynamic	2/4	3	1	0					pp												
51	51	100	100	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	389														
51	51	101	101	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	390														
52	52	102	102	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	391	-de-													
52	52	205/2	205/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8	1/4	3/2	392	-bat													
52	52	205/2	205/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	393														
52	52	207/2	207/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	394														
52	52	102	102	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	395														
52	52	103	103	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	396														
53	53	104	104	0.0	0	0	Dynamic	2/4	1	1	0					p												
53	53	104	104	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	397	na-													
53	53	105	105	0.0	1/4	1/4	Spanner	2/4	1	1	0																	8
53	53	105	105	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	398	-ti													8
53	53	209/2	209/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	399														
53	53	211/2	211/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	400														
53	53	104	104	0.0	0	0	Dynamic	2/4	3	1	0					p												
53	53	104	104	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	401														
53	53	105	105	0.0	1/4	1/4	Spanner	2/4	3	1	0																	9
53	53	105	105	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	402														9
54	54	106	106	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	403	pœ-													8
54	54	107	107	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	404	-nas													8
54	54	213/2	213/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	405														
54	54	215/2	215/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	406														
54	54	106	106	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	407														9
54	54	107	107	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	408														9
55	55	108	108	0.0	0	0	Dynamic	2/4	1	1	0					f												
55	55	108	108	0.0	0	0	Spanner	2/4	1	1	0																	
55	55	108	108	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	409	na-													
55	55	109	109	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	410	-ti													
55	55	217/2	217/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	411														
55	55	219/2	219/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	412														
55	55	108	108	0.0	0	0	Dynamic	2/4	3	1	0					f												
55	55	108	108	0.0	0	0	Spanner	2/4	3	1	0																	
55	55	217/2	217/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	413														
55	55	219/2	219/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	414														
55	55	108	108	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	415														
55	55	109	109	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	416														
56	56	110	110	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	417	pœ-									36				
56	56	441/4	441/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	418										36				
56	56	221/2	221/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	419										36				
56	56	443/4	443/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	420										36				
56	56	111	111	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	421														
56	56	223/2	223/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	422	-nas													
56	56	447/4	447/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	423														
56	56	221/2	221/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	424														
56	56	223/2	223/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	425														
56	56	221/2	221/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	426														
56	56	223/2	223/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	427														
56	56	110	110	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	428														
56	56	111	111	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	429														
57	57	112	112	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	430	in-									37				
57	57	113	113	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	431														
57	57	227/2	227/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	432	-cly-													
57	57	225/2	225/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	433														
57	57	227/2	227/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	434														
57	57	112	112	0.0	0	0	Spanner	2/4	3	1	0														4			
57	57	112	112	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	435											4			
57	57	112	112	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	436											4			
57	57	113	113	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	437											4			
58	58	114	114	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	438	-ti.													
58	58	114	114	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	439														
58	58	229/2	229/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	440			articAccentAbove											
58	58	231/2	231/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	441			articAccentAbove											
58	58	114	114	0.0	0	0	Spanner	2/4	3	1	0																	
58	58	114	114	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	442														
58	58	229/2	229/2	0.0	1/8	1/8	Dynamic	2/4	3	1	0					f												
58	58	229/2	229/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	443														
58	58	231/2	231/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	444														
58	58	114	114	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	445														
58	58	115	115	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	446														
59	59	116	116	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	447														
59	59	233/2	233/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	448										38				
59	59	467/4	467/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	449										38				
59	59	117	117	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	450										38				
59	59	235/2	235/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	451										38				
59	59	471/4	471/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	452														
59	59	116	116	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	453														
59	59	233/2	233/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	454														
59	59	117	117	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	455														
59	59	235/2	235/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	456														
59	59	233/2	233/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	457														
59	59	235/2	235/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	458														
59	59	116	116	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	459														
59	59	117	117	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	460														
60	60	118	118	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	461														
60	60	237/2	237/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	462			articAccentAbove											
60	60	239/2	239/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	463														
60	60	237/2	237/2	0.0	1/8	1/8	Dynamic	2/4	3	1	0					p												
60	60	237/2	237/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	464														
60	60	239/2	239/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	465														
60	60	118	118	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	466														
60	60	119	119	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	467														
61	61	120	120	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	468														
61	61	241/2	241/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	469										39				
61	61	483/4	483/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	470										39				
61	61	121	121	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	471										39				
61	61	243/2	243/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	472										39				
61	61	487/4	487/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	473														
61	61	120	120	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	474														
61	61	241/2	241/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	475														
61	61	121	121	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	476														
61	61	243/2	243/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	477														
61	61	241/2	241/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	478														
61	61	243/2	243/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	479														
61	61	120	120	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	480														
61	61	121	121	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	481														
62	62	122	122	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	482														
62	62	245/2	245/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	483														
62	62	123	123	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	484														
62	62	122	122	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	485														
63	63	124	124	0.0	0	0	Dynamic	2/4	1	1	0					p												
63	63	124	124	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	486	Quae		ornamentTrill											
63	63	125	125	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	487	mœ-		ornamentTrill											
63	63	249/2	249/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	488														
63	63	251/2	251/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	489														
63	63	124	124	0.0	0	0	Dynamic	2/4	3	1	0					p												
63	63	124	124	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	490														
63	63	125	125	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	491														
64	64	126	126	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	492	-re-		ornamentTrill											
64	64	127	127	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	493	-bat		ornamentTrill											
64	64	253/2	253/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	494														
64	64	255/2	255/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	495														
64	64	126	126	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	496														
64	64	127	127	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	497														
65	65	128	128	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	498	et									40				
65	65	129	129	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	499														
65	65	259/2	259/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	500	do-													
65	65	257/2	257/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	501														
65	65	259/2	259/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	502														
65	65	128	128	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	503														
65	65	129	129	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	504														
66	66	130	130	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	505	-le-													
66	66	261/2	261/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	506	-bat,									41				
66	66	263/2	263/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	507														
66	66	261/2	261/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	508														
66	66	263/2	263/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	509														
66	66	130	130	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	510														
66	66	131	131	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	511														
67	67	132	132	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	512	et									42				
67	67	529/4	529/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	513										42				
67	67	265/2	265/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	514														
67	67	267/2	267/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	515	do-													
67	67	265/2	265/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	516														
67	67	267/2	267/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	517														
67	67	132	132	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	518														
67	67	133	133	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	519														
68	68	134	134	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	520	-le-													
