mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	HairPin:3_smorz.	decrescendo_hairpin
5	5	65/4	65/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	88										16				
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	89										16				
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	90										16				
5	5	17	17	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	91										16				
5	5	69/4	69/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	92										16				
5	5	35/2	35/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	93										16				
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	94														
5	5	18	18	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	95										17				
5	5	73/4	73/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	96										17				
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	97										17				
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	98										17				
5	5	19	19	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	99										17				
5	5	77/4	77/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	100										17				
5	5	39/2	39/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	101										17				
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	102														
5	5	16	16	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	103														
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	104														
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	3	1/4		1/4	1	105										18				
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	106														
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	107														
5	5	18	18	0.75	1/2	1/2	Chord	4/4	3	1	3/16		1/8	3/2	108														
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	109														
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	110														
5	5	16	16	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	111														
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	112														
