mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	266														
13	13	49	49	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	267														
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	268														
13	13	50	50	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	269														
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	270														
13	13	51	51	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	271														
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	272														
13	13	48	48	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	273														
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	274														
13	13	49	49	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	275														
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	276														
13	13	50	50	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	277														
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	278														
13	13	51	51	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	279														
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	280														
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	281														
14	14	53	53	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	282	i-									37				
14	14	425/8	425/8	0.375	9/32	9/32	Chord	4/4	1	1	3/32		1/16	3/2	283														
14	14	107/2	107/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	284	-stud									38				
14	14	429/8	429/8	0.375	13/32	13/32	Chord	4/4	1	1	3/32		1/16	3/2	285														
14	14	54	54	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	286	a-									39				
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	287														
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	288	-gas,													
14	14	52	52	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	289														
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	290														
14	14	53	53	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	291														
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	292														
14	14	54	54	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	293														
14	14	109/2	109/2	1.0	5/8	5/8	Chord	4/4	3	1	1/4		1/4	1	294										40				
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	295														
14	14	54	54	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	296														
14	14	55	55	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	297														
14	14	109/2	109/2	1.5	5/8	5/8	Chord	4/4	3	3	3/8		1/4	3/2	298														
14	14	52	52	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	299														
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	300														
14	14	53	53	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	301														
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	302														
14	14	54	54	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	303														
14	14	109/2	109/2	0.0	5/8	5/8	Dynamic	4/4	4	1	0						sf												
14	14	109/2	109/2	0.0	5/8	5/8	Spanner	4/4	4	1	0															2			
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	304										41	2			
14	14	55	55	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	305										41	2			
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	306											2			
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	307	cru-													
15	15	113/2	113/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	308	-ci-									42				
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	309														
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	310	-fi-													
15	15	117/2	117/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	311	-xi									43				
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	312														
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	313														
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	314														
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	315														
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	316														
15	15	56	56	0.0	0	0	Dynamic	4/4	4	1	0						p												
15	15	56	56	0.0	0	0	Spanner	4/4	4	1	0																		
15	15	56	56	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	317														
15	15	57	57	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	318														
15	15	58	58	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	319														
15	15	59	59	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	320														
16	16	60	60	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	321	fi-									44				
16	16	121/2	121/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	322														
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	323	-ge													
16	16	62	62	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	324	pla-													
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	325	-gas													
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	326														
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	327														
16	16	62	62	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	328														
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	329														
16	16	62	62	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	330														
16	16	60	60	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	331														
16	16	61	61	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	332														
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	333														
16	16	63	63	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	334														
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	335														
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	336	cor-		ornamentTrill											
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	337	-di		ornamentTrill											
17	17	64	64	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	338														
17	17	66	66	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	339														
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	340														
17	17	65	65	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	341			articStaccatoAbove											
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	342														
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	343			articStaccatoAbove											
17	17	67	67	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	344			articStaccatoAbove											
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	345			articStaccatoAbove											
18	18	68	68	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	346	me-									45				
18	18	273/4	273/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	347														
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	348	-o,													
18	18	70	70	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	349	cor-													
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	350	-di													
18	18	70	70	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	351										46				
18	18	68	68	0.25	0	0	Chord	4/4	3	2	1/16		1/16	1	352														
18	18	273/4	273/4	0.0	1/16	1/16	Dynamic	4/4	3	2	0						p												
18	18	273/4	273/4	0.25	1/16	1/16	Chord	4/4	3	2	1/16		1/16	1	353										47				
18	18	137/2	137/2	0.25	1/8	1/8	Chord	4/4	3	2	1/16		1/16	1	354										47				
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	3	2	1/16		1/16	1	355										47				
18	18	69	69	0.25	1/4	1/4	Chord	4/4	3	2	1/16		1/16	1	356										47				
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	3	2	1/16		1/16	1	357										47				
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	3	2	1/16		1/16	1	358										47				
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	3	2	1/16		1/16	1	359														
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	360										48				
18	18	71	71	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	361										48				
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	362														
18	18	68	68	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	363														
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	364										49				
18	18	71	71	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	365										49				
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	366														
19	19	72	72	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	367	me-													
19	19	289/4	289/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	368														
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	369	-o,													
19	19	74	74	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	370	cor-													
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	371	-di													
19	19	72	72	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	372														
19	19	289/4	289/4	0.0	1/16	1/16	Dynamic	4/4	3	1	0						p												
19	19	289/4	289/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	373										50				
19	19	145/2	145/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	374										50				
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	375										50				
19	19	73	73	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	376										50				
19	19	293/4	293/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	377										50				
19	19	147/2	147/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	378										50				
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	379														
19	19	74	74	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	380										51				
19	19	75	75	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	381														
19	19	72	72	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	382														
19	19	74	74	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	383														
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	384										52				
19	19	75	75	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	385										52				
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	386														
19	19	72	72	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	387														
19	19	149/2	149/2	1.5	5/8	5/8	Chord	4/4	4	1	3/8		1/4	3/2	388														
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	389										53				
19	19	75	75	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	390										53				
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	391														
20	20	76	76	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	392	me-									54				
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	393										54				
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	394										54				
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	395										54				
20	20	77	77	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	396										54				
20	20	309/4	309/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	397														
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	398	-o													
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	399														
20	20	78	78	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	400	va-		ornamentTrill							55				
20	20	315/4	315/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	401										56				
20	20	79	79	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	402			ornamentTrill											
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	403	-li-													
20	20	76	76	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	404										57				
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	405										57				
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	406										57				
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	407										57				
20	20	77	77	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	408										57				
20	20	309/4	309/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	409										57				
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	410										57				
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	411														
20	20	78	78	0.75	1/2	1/2	Chord	4/4	3	1	3/16		1/8	3/2	412			ornamentTrill											
20	20	315/4	315/4	0.0	11/16	11/16	Spanner	4/4	3	1	0															3			
20	20	315/4	315/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	413											3			
20	20	79	79	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	414											3			
20	20	76	76	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	415											3			
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	416											3			
20	20	77	77	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	417											3			
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	418											3			
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	419											3			
20	20	79	79	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	420											3			
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	421											3			
20	20	76	76	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	422														
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	423														
20	20	77	77	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	424														
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	425														
20	20	157/2	157/2	1.0	5/8	5/8	Chord	4/4	4	1	1/4		1/4	1	426										58				
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	427														
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	428										59				
20	20	79	79	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	429										59				
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	430														
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	431	-de,													
21	21	82	82	0.0	1/2	1/2	Dynamic	4/4	1	1	0						p												
21	21	82	82	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	432	cor-		ornamentTrill											
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	433	-di													
21	21	80	80	0.0	0	0	Spanner	4/4	3	1	0																		
21	21	82	82	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	434														
21	21	80	80	0.25	0	0	Chord	4/4	3	2	1/16		1/16	1	435														
21	21	321/4	321/4	0.0	1/16	1/16	Dynamic	4/4	3	2	0						p												
21	21	321/4	321/4	0.25	1/16	1/16	Chord	4/4	3	2	1/16		1/16	1	436										60				
21	21	161/2	161/2	0.25	1/8	1/8	Chord	4/4	3	2	1/16		1/16	1	437										60				
21	21	323/4	323/4	0.25	3/16	3/16	Chord	4/4	3	2	1/16		1/16	1	438										60				
21	21	81	81	0.25	1/4	1/4	Chord	4/4	3	2	1/16		1/16	1	439										60				
21	21	325/4	325/4	0.25	5/16	5/16	Chord	4/4	3	2	1/16		1/16	1	440										60				
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	3	2	1/16		1/16	1	441										60				
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	3	2	1/16		1/16	1	442														
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	443										61				
21	21	83	83	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	444										61				
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	445														
21	21	80	80	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	446														
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	447										62				
21	21	83	83	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	448										62				
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	449														
22	22	84	84	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	450	me-									63				
22	22	337/4	337/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	451														
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	452	-o,													
22	22	86	86	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	453	cor-													
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	454	-di													
22	22	84	84	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	455														
22	22	337/4	337/4	0.0	1/16	1/16	Dynamic	4/4	3	1	0						p												
22	22	337/4	337/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	456										64				
22	22	169/2	169/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	457										64				
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	458										64				
22	22	85	85	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	459										64				
22	22	341/4	341/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	460										64				
22	22	171/2	171/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	461										64				
22	22	343/4	343/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	462														
22	22	86	86	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	463														
22	22	87	87	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	464														
22	22	84	84	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	465														
22	22	86	86	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	466														
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	467										65				
22	22	87	87	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	468										65				
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	469														
22	22	84	84	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	470														
22	22	173/2	173/2	1.5	5/8	5/8	Chord	4/4	4	1	3/8		1/4	3/2	471														
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	472										66				
22	22	87	87	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	473										66				
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	474														
23	23	88	88	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	475	me-									67				
23	23	353/4	353/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	476										67				
23	23	177/2	177/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	477										67				
23	23	355/4	355/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	478										67				
23	23	89	89	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	479										67				
23	23	357/4	357/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	480														
23	23	179/2	179/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	481	-o													
23	23	359/4	359/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	482														
23	23	90	90	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	483	va-		ornamentTrill											
23	23	363/4	363/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	484														
23	23	91	91	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	485			ornamentTrill											
23	23	367/4	367/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	486	-li-													
23	23	88	88	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	487										68				
23	23	353/4	353/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	488										68				
23	23	177/2	177/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	489										68				
23	23	355/4	355/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	490										68				
23	23	89	89	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	491										68				
23	23	357/4	357/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	492										68				
23	23	179/2	179/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	493										68				
23	23	359/4	359/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	494														
23	23	90	90	0.75	1/2	1/2	Chord	4/4	3	1	3/16		1/8	3/2	495			ornamentTrill							69				
23	23	363/4	363/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	496														
23	23	91	91	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	497			ornamentTrill											
23	23	88	88	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	498														
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	499														
23	23	89	89	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	500														
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	501														
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	502														
23	23	91	91	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	503														
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	504														
23	23	88	88	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	505														
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	506										70				
23	23	89	89	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	507										70				
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	508														
23	23	181/2	181/2	1.0	5/8	5/8	Chord	4/4	4	1	1/4		1/4	1	509														
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	510														
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	511										71				
23	23	91	91	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	512										71				
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	513														
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	514	-de.													
24	24	92	92	0.25	0	0	Chord	4/4	3	1	1/16		1/16	1	515										72				
24	24	369/4	369/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16		1/16	1	516														
24	24	185/2	185/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16		1/16	1	517										73				
24	24	371/4	371/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	518														
24	24	93	93	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	519										74				
24	24	373/4	373/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	520														
24	24	187/2	187/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	521										75				
24	24	375/4	375/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	522														
24	24	94	94	0.25	1/2	1/2	Chord	4/4	3	1	1/16		1/16	1	523										76				
24	24	377/4	377/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16		1/16	1	524														
24	24	189/2	189/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	525										77				
24	24	379/4	379/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	526														
24	24	95	95	0.25	3/4	3/4	Chord	4/4	3	1	1/16		1/16	1	527										78				
24	24	381/4	381/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16		1/16	1	528										78				
24	24	191/2	191/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16		1/16	1	529										78				
24	24	383/4	383/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16		1/16	1	530														
24	24	92	92	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	531														
24	24	185/2	185/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	532														
24	24	93	93	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	533														
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	534														
24	24	94	94	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	535														
24	24	189/2	189/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	536														
24	24	95	95	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	537														
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	538														
24	24	92	92	0.0	0	0	Dynamic	4/4	4	1	0						f												
24	24	92	92	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	539														
